日期,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额
2015/6/18,11.8,12.3,11.76,12.18,12.28,-0.48,-3.9088,0.101,163538819,1976536015
2015/6/17,12.28,12.33,11.94,12.15,12.09,0.19,1.5715,0.1074,173834082,2109224324
2015/6/16,12.09,12.5,12.03,12.4,12.6,-0.51,-4.0476,0.1187,192269036,2357332220
2015/6/15,12.6,13.06,12.58,12.98,12.96,-0.36,-2.7778,0.1383,223867038,2865595198
2015/6/12,12.96,13.08,12.88,13,12.91,0.05,0.3873,0.1319,213647183,2774773921
2015/6/11,12.91,12.98,12.71,12.96,12.98,-0.07,-0.5393,0.1126,182365800,2342716252
2015/6/10,12.98,13.1,12.9,13.08,13.18,-0.2,-1.5175,0.134,216996537,2822162477
2015/6/9,13.18,13.29,12.93,13.21,13.33,-0.15,-1.1253,0.2025,327958383,4305123939
2015/6/8,13.33,13.45,12.71,12.77,12.82,0.51,3.9782,0.2644,428162987,5602758824
2015/6/5,12.82,12.9,12.51,12.66,12.61,0.21,1.6653,0.202,327034132,4163192954
2015/6/4,12.61,12.63,11.81,12.34,12.35,0.26,2.1053,0.1603,259534143,3198002632
2015/6/3,12.35,12.56,12.21,12.37,12.37,-0.02,-0.1617,0.1043,168860636,2092947276
2015/6/2,12.37,12.4,12.15,12.35,12.4,-0.03,-0.2419,0.115,186221316,2288692466
2015/6/1,12.4,12.44,11.84,11.92,11.92,0.48,4.0268,0.1273,206188279,2506650889
2015/5/29,11.92,12.28,11.7,12.17,12.2,-0.28,-2.2951,0.1448,234515926,2804182312
2015/5/28,12.2,13.24,12.1,13.23,13.35,-1.15,-8.6142,0.2144,347162595,4449343500
2015/5/27,13.35,13.59,13.19,13.19,13.05,0.3,2.2989,0.201,325406701,4348860303
2015/5/26,13.05,13.1,12.75,13.07,12.98,0.07,0.5393,0.1636,264892990,3426450424
2015/5/25,12.98,12.99,12.55,12.61,12.64,0.34,2.6899,0.1525,246929009,3169645139
2015/5/22,12.64,12.73,12.27,12.28,12.22,0.42,3.437,0.156,252557664,3170165651
2015/5/21,12.22,12.24,12.07,12.17,12.17,0.05,0.4108,0.0819,132553476,1611003279
2015/5/20,12.17,12.43,12.11,12.18,12.19,-0.02,-0.1641,0.109,176444751,2166183890
2015/5/19,12.19,12.19,11.75,11.77,11.79,0.4,3.3927,0.0932,150925600,1817817206
